46GP8	a person cooks food on a stove before looking out of a window 
B70WK	a person is running in place at the bottom of the stairs ; another person enters through the front door and reaches into a bag and takes something out and tosses it towards person one ; person one catches it and continues running in spot 
B70WK	a person standing in a walkway dancing in place ; another person enters the door with a bag and thews a can to the other person 
564DX	person opens fridge retrieves drink and takes a drink 
Z4P5B	the person walks picks up a box of snacks walks to the door unlocks opens and closes it and starts walking back 
5VGLI	a person is standing in the kitchen preparing food on the stove ; the person leans against the refrigerator 
IAFF1	a person sweeps the garage with a broom ; the person then seizes a towel and cleans the broom 
IAFF1	person is sweeping with a broom in his garage ; person wipes down his broom handle with a towel 
78R4Y	the person opens the refrigerator door and places items from a bag onto the shelves then wads up the bag before closing the door 
78R4Y	a person open the refrigerator removes groceries from a bag and puts it in the refrigerator 
GZ4ZZ	a person is doing homework 
Y2QUJ	a person seated at a table eats a sandwich and then sneezes 
STAFD	a person is lying bed while eating a sandwich ; the person takes off their jacket and shirt 
STAFD	a person is lying down in a bed eating food while covered with a blanket ; the person then quickly takes off their jacket and their glasses then their sweatshirt ; then the person puts his glasses back on and continues eating 
YRIBO	the person walks down the stairs with a bag of clothes 
ZL55N	a person takes a picture / video of themselves sneezing several times then puts the camera down and closes the open door behind them ; then they pick up a rag and wipe the wall 
ZL55N	a person is holding something and sneezing they then close the door grab a rag and begin washing the area around them 
Q366H	a person does homework while sitting on the floor 
Q366H	a person is sitting on the floor reading a book another person walks by and a third person is sitting in a chair 
FQNPB	a person drinks from a cup then looks at a book and throws it down 
FQNPB	there is a person sitting in a chair eating a sandwich and drinking with a book on their lap ; that person picks up the book and puts it on a different chair 
AKKWU	a person walked in to a bathroom has opened a cabinet grabbed a folded towel and has left the bathroom 
E64R4	a person takes a jacket off a table and puts it on ; then they grab a blanket and a cup off the table and walk through a door 
E64R4	person puts on jacket zips it up grab blanket and cup open door walks in and closes door behind them 
DPCGS	person in a doorway walked in eating a sandwich with a a laptop in hand 
DPCGS	a person walks in through a doorway holding a laptop eating a sandwich they open their laptop and eat their sandwich 
Q3FZ6	a person sits down on a bed ; the person begins folding up clothes ; the person stands up and walks away 
DC94A	a person puts groceries inside a cupboard ; the person takes two stuffed toys from another cupboard walks to a chair sits in the chair and plays with the toys 
DC94A	a person places some items in a cabinet and plays with stuffed animals 
AAH0C	a person places things in their desk and stares at their laptop 
8DE6J	a person is in a bathroom and is taking things out of a box and then putting them into a cabinet under the sink 
T9DF0	a person is standing on some stairs holding a pillow and some homework they then open the homework and begin looking through it and smiling 
62VEF	person is walking in his garage while eating a sandwich and drinking from a coffee cup 
8CUWA	the person walks to a shelf picks up the mirror and puts a towel under it 
KTOJX	a person is taking out there jacket before sitting on a chair ; this person then starts to take there sneakers off but has to stop due to constant sneezing 
KTOJX	a person takes off a sweater and throws it on the couch ; the person then sits down and sneezes multiple times 
NXM13	a person is sitting in a chair playing with a pillow ; they toss the pillow into the air several times 
0CX32	a person runs into the room carrying a broom and towel ; they put the towel and broom on a sofa then bend over and open a window 
LJ2J6	a person is tidying up a sofa while holding a broom 
LJ2J6	a person tidied up a living room ; the person held a broom but did not do much with it ; the person picked up clothes from the floor 
GWZ2A	a person is drinking a cup of coffee then looking at themselves in a mirror in front of the sink 
GWZ2A	a person standing in front of a mirror holding a cup ; the person takes a drink and places the cup on the sink and leans forward and looks in to the mirror 
SAIDX	person walks into a room and throws blanket onto a nearby table 
YFI1M	a person is taking off a jacket and hat and hanging them up and looking at a phone 
8GRE9	a person opens then closes a door they then start eating some food 
8GRE9	a person is in the kitchen ; the person walks to a door opens it and looks inside before closing it again ; the person walks to the counter and begins eating a sandwich 
F87KZ	a person walks to a stove and starts cooking ; they walk to the refrigerator and open the door and leave 
0TJ7G	person is sitting watching tv ; person them pours water into a mug 
U3NKR	someone walks into a bathroom with a broom spray and towel ; they put the towel on the door and spray the floor and begin brooming and then they leave 
G57R6	a person is laying on a couch looking into a mirror ; the person puts the mirror down and lifts up a towel ; the person then gets off the couch 
1GQAJ	a person opens the door to a bedroom walks in holding a broom and begins to sweep the floor 
6C526	person sitting on bed folding clothes and putting on side of bed ; other person sitting on chair watching person fold clothes 
6C526	a person sitting on a bed picking up clothes from a chair folding them and placing them on the bed while another person sits in a chair watching 
OVHFT	a person walked into the laundry room took of their shoes picked up a bottle and walked out 
OVHFT	a person walks into a room turns on a light and takes off their shoes they then grab some medicine and leave 
YZI2P	a person walks into the room and opens the door to the refrigerator and looks in ; they close the door and walk over to the sofa and sit down to play a video game 
QBXRP	the person enters the bathroom then picks up a cup and fills it with water from the sink ; then the person dumps the water out of the cup back into the sink and finally picks something up from the sink and walks out of the bathroom with it 
0O36O	a person is holding a box and closing it on a table or desk 
0O36O	a person assembles a box and places it on the table 
7G0HB	a person begins to sneeze ; a person then grabs a napkin and wipes their mouth ; a person then opens a fridge and closes it ; a person picks up a paper and puts it back down 
S6DKG	a person sneezes before grabbing a box sitting on a table 
S6DKG	a person sneezes then moves a box around on a table 
S6DKG	a person walks over to a desk sneezes fiddles with a box and walks away 
MF8AX	a person runs into a room moves some dishes around on the floor and touches the vaccuum before leaving 
MF8AX	a person places dishes on the floor around a vacuum cleaner 
C0EJT	a person is standing in doorway looks into the mirror and starts laughing to themselves 
D0YWV	a person is walking through a door the closing it and holding a phone in their hands 
56XCX	a person walks down a hallway then sits in a chair to put on their shoes 
HD6GF	a person is folding clothes and putting them in a cabinet 
UAIHK	a person wakes up and begins dressing they then grab their laptop and open it and begin working 
UAIHK	a person is lying in bed ; a person awakes ; a person then puts on their pants and their shirt ; a person then sits in bed and opens a laptop 
P31E5	a boy walks up to a windowsill takes a can of soda from it then walks to the doorway and leans in the doorway drinking it 
P31E5	a person walks into a room and takes a glass of a shelf ; the person walks over to a door and drinks from the glass ; the person then sneezes ans take another drink 
HYD3N	person standing holding plate of food and playing with phone in other hand ; person bends and place plate of food on chair and walks away 
HYD3N	a person is looking at a phone while holding a sandwich ; a person puts a sandwich down on a chair 
KYFKN	a person is using a broom to tidy up a room they move the laptop and sweep the room 
KYFKN	a person sweeps the floor adjusting a laptop touching the blinds and picking one object off the floor and putting it on the bed 
HYIZD	a couple of people cleaning a stairway ; the one person is wiping down the railing of the stairs ; the second person is carrying a broom and starts swiping the steps and smiling 
HYIZD	a person is holding a broom on the stairs they give the broom to the second person who begins sweeping while the first person cleans the stairs with a towel 
4MUXJ	a person is holding a bag of groceries ; a person begins putting items in the bag ; a person then puts the bag down and closes the door 
9ALI5	a person is smiling while reading a book and eating something off a plate 
YJ06D	a person walks in the room turns on the light and does something with a wardrobe 
G1BT8	a person opens and closes some drawers on a dreser ; they take a book of the top and look at it 
RXF2Q	a person enters the room and closes the door ; they take off their hat sniff it and put it back on ; they then sit at a desk and open the laptop 
NGZQ9	a person is drinking a cup of water then picks up a pile of clothes and puts then away ; the person then sets cup down on counter and leaves 
NGZQ9	a person drinks from a glass then grabs a bag and brings the glass back 
TTLFX	a person grooms themselves while looking in a mirror ; they then lean down and pull a pillow out of a box 
P2HZG	a person is sitting at the dining room table and takes the laptop to the kitchen an opens a cabinet 
GJJA1	a person holds a pillow and then folds a paper ; the person puts down the paper and pillow and plays with a phone 
GJJA1	there is a person standing in the room holding a pillor and a phone ; that same person puts the pillow on the bed and works on their phone 
P3EW1	a person sits on a sofa and takes off their shoes ; the person then eats a cookie 
O76N2	a person opens a bag and puts some items into it before putting the bag on a table 
TE34B	a person walks into the room and works on a laptop ; they pick up a phone to answer it then walk out of the room holding the phone ; they reenter the room holding a bag of groceries which they place in the refrigerator then walk out again 
1MD1H	a person is sleeping on a couch with a blanket and pillow they wake up take off their shoes and go over to a table and grab a bag then they sit back down on the couch 
C5044	person turns on tv picks up water bottle and drinks from it 
C5044	a person walks into the room holding food first they set the food on a table and pick up a cup then they turn on the tv and drink from the cup while watching tv 
TIGIP	a person opens a door and walks in to a room then closes the door ; the person sits on the sofa and puts a blanket to their legs and turns a tv on with a remote which was on a table 
8TNSB	a person opens a door ; a second person runs through the door 
MLBTH	a person is sitting on a sofa at a desk ; the person opens up a laptop ; the person then opens and eats a bag of food from a bag of groceries while looking at the computer 
MLBTH	a person sits on a sofa and opens a laptop ; the person grabs food out of a bag and begins eating 
8X49S	a person sits in a chair and eats a sandwich while drinking from a glass 
8X49S	a person is sitting on a chair typing on their laptop located on their desk ; the person takes a drink of water from a glass on the desk ; the person then picks up a sandwich and takes a bite and then goes back to typing 
6FASX	a person moves a chair into a room then stands on it to reach for something high up on a shelf ; they then move the chair and sit down on it in front of the tv 
D4XVH	a person is walking in a hallway holding a book ; they walk to a plate on a shelf and eat food from the plate 
4N5P9	a person stands in a closet holding a phone and takes off his sweatshirt and t shirt 
4N5P9	a person is standing in a closet laughing at something on their phone while undressing 
IQ0ZX	a person is snuggling with a blanket on a sofa and watching a video on a laptop while drinking from a glass 
Y4LT8	this person is sitting on a chair next to the refrigerator takes out a purse puts it back in the fridge then the camera turns to a person washing dishes at the sink 
Y4LT8	one person is opening a fridge and pulling out some food while another person washes a pot in the sink ; they both talk to each other 
UYJVE	a person walks into a room and begins sneezing ; they take a laptop to sit down on the couch and play with it 
UYJVE	a person is walking around the room sneezing they take a laptop and sit down with it and they open it then they get back up 
EWCV4	a man is laying on a floor in the doorway then takes his shoes off and stands and walks away leaving his pillow on the floor 
VF3Y0	a person wipes off the kitchen counter with a rag and then gets a pot and starts putting food from the pot onto a plate 
VF3Y0	a person is standing in a kitchen and appears to be knocking a shoe on the stove presumably to knock dirt off ; they then put the shoe down turn and grab a pot from the table behind them put it on the stove and begin to divide food up in bowelslk 
9T11N	a person takes a seat behind the desk ; while sitting the person coughs into a towel while looking at a desk picture 
9T11N	a person sits down at a desk and picks up a picture to look at ; while looking at the picture the person sneezes four times and grabs a towel to sneeze in ; after the sneezing the person puts down the towel and the picture and gets up from the desk 
JI705	a person sits on a chair doing homework and laughing ; the person gets up and pulls a bag out of a cabinet 
MJY7E	person throws napkin in bag picks up phone looks at it walks away with it 
MJY7E	a person is standing in closet throw away a paper into a bag and then walks off while looking at their phone 
NDD35	a person runs down a hallway holding a blanket and a bottle of medicine ; the person stops and holds onto a doorknob 
4D5XD	a person puts on some shoes ; they walk out of the garage 
4D5XD	a person is putting on their shoes in the garage ; the person adjust their clothing and walks out of the garage 
3W31X	person is standing holding two bags with groceries and sneezing then person puts groceries on table 
Y05U8	a person sits down at a dining room table and starts flipping through a book they pick up their phone and check it before putting their jacket on 
TYHA8	a person is holding a phone ; the person puts down the phone and starts to tidy up with a towel ; a person then picks up the linens and moves them elsewhere 
TYHA8	the person picks up a phone and some pillows off of the bed ; the person appears to be cleaning up the room 
VML1Z	a person opens the closet and is looking through it 
K8HXX	two people sit on the stairs while one tries to put his shoe on 
OWGPH	a person takes off clothing and then takes a blanket and wraps themselves in it 
ZHGEV	a person is walking into a room then stands in a doorway they are wrapped in a towel 
ZHGEV	person walks out room is wet and wearing a towel walks towards door opens it and stands in doorway 
X0O65	a person walks into a living room holding a sandwich ; the person looks at something on the table sneezes and then walks away 
X0O65	a person walks around a living room while holding a towel ; the person then sneezes while looking at an object on a table 
E7TLO	a person stands in a doorway while another person walks past into a closet takes a camera off of a shelf and takes a picture 
45BIP	a person is picking up shoes from the floor then folding a blanket while another person walks in wearing a blanket on their shoulders 
45BIP	a person grabbed shoes from the floor ; the person then folded a blanket ; another person wearing a snuggie then attempted to distract the first person ; the first person ignored this tomfoolery 
2Q3ZJ	there is a person standing in front of a mirror taking their clothes off ; another person walks into the closet while talking on the phone 
2Q3ZJ	a man is standing in front of a mirror in his mirror undressing ; he takes a jacket off then a shirt then an undershirt ; his wife walks into the room past him and goes into the closet talking on the phone ; he begins to take off his belt 
7GF4E	a person walks around a kitchen holding a bag of groceries ; the person places the bag of groceries down on the table 
3VEJY	a person is running around the bedroom holding a pillow 
R979C	a person is holding a bag and is standing behind a young person ; the younger person is holding a notebook wearing a blanket as a cape and is stirring a pot on the stove 
R979C	two people are in a kitchen ; person 1 is holding a bag and laughing ; person 2 is wearing a blanket ; person 2 is reading a book while cooking at the stove 
S8X4A	a person sneezes in the bathroom then walks into the bedroom where they use a remote control to interact with a tv 
D0V0Y	a person walks through a door and into a room ; as the person enters they sneeze three to four times and then turn on a light ; after this they sit in a chair and begin to adjust their shoes 
D0V0Y	a person walks through a doorway while sneezing ; the person then turns on a light takes off a shoe and puts another shoe on 
X8LT0	a person is trying to open a box they then use scissors to cut the tape from the box to open it and remove an item 
MUI01	a woman moves a jacket puts on a sweater turns on a tv 
SA9PB	a person eats food while looking for clothes in his closet ; the person takes their phone out of their pocket and looks at it 
SA9PB	a person eats something as they look around in a closet and grab a book then pullout their phone 
MFQ5S	a person walks into the kitchen and begins scrubbing the cabinet doors 
MFQ5S	person walks into the kitchen and starts cleaning the cabinets by wiping them down opening and closing them 
PDRVY	there is a person in the kitchen and they place something on the counter ; they walk over to a door open the door and pick up a bag ; that same person then takes the bag into the room and closes the door 
A6NH2	a person is vacuuming a closet in a kitchen using a hose for the clean up proccess 
A6NH2	a person in the kitchen opens a small closet door ; the person places a vacuum cleaner attachment onto the end of a hose and vacuums out the closet 
5CZRC	a person is eating a piece of fruit and drinking a glass of water 
8K46I	a person gets on a bed and gets off a bed 
6912B	a person made a bed then sat down on the bed and picked up and used a laptop computer 
E6PSM	a person opens a door and walks into a room while holding a box ; they open the box and pull out a book ; they open up the book and laugh at it then they walk out of the room 
T1FTD	a person enters a laundry room and opens the dryer the take out a pillow ; they snuggle with it while smiling before putting it on a shelf 
AZMVM	a person is sitting on their bed undressing ; they take their pillow and place it in a cabinet 
AZMVM	a person is sitting on a bed undressing out of the clothes they then take a pillow and put it inside a cabinet 
COBEK	a person is cleaning their chair with a small towel 
COBEK	a person cleaning a chair opens and closes the cabinet then goes back to cleaning the chair while smiling 
CH0PM	a person walks from one side of the room to another ; they open the closet door and begin undressing ; they throw their jacket and shirt on the bed and stretch ; they walk away from the closet and take the camera 
CH0PM	a person opens a door and walks inside a closet and takes their shirt off ; then they take their shoes off and stretch ; then they turn the light off and walk back across the room 
EX1PY	the person takes a box off the shelf and puts it back ; they then drink a cup of coffee 
RLS2I	a person is walking into a room to grab a towel and then again back out of the room with the towel 
RLS2I	person walks through doorway opens closet grabs towel and walks back through doorway 
JCBDT	a person is playing with their phone while standing ; a second person is talking on their phone staring at a picture while sitting on a bed 
JCBDT	a person is standing tapping on the screen of a cell phone and talking ; another person is sitting on a bed talking to a person on a cell phone 
LK1AE	a person is grasping at a towel with some anger ; the person then throws the towel and turns the light off 
TAZGF	a person is standing by the doorway holding a plate of food they then put the plate on a table and sit down on a sofa 
TAZGF	a person is walking across a room with a dish they put it on the coffee table and then they sit on the couch 
BN4VH	a person walks into a room through a doorway holding a blanket yawning ; they pick up a bowl from a table and walk away 
491X2	a person sitting at a desk is working on a laptop ; they stop to tidy the desk 
IS7PL	a person walks into the bathroom eating a sandwich then looks in the mirror while eating 
IS7PL	someone walks through the doorway eating a sandwich and then looks at themselves in a mirror 
E2TCA	a person is shaking a shelf while another person walks in drinking a glass of water 
FVTEU	a person walks and then lies on the floor ; the person first rests their head on their head and then lies down completely on the floor 
FVTEU	the person set the camera to video themselves lieing on the floor 
AADCE	the person is drinking water from a water bottle and playing on their phone 
04MTP	a person is sitting in an office chair eating chips the person then rests his arm on a computer screen for a bit 
04MTP	person sits in a chair and eats some chips and laughs 
7OW67	a person stood on a flight of stairs and took photos of another person who was at the bottom of the stairs engaging in a series of different poses 
2CFCW	a person enters the front door carrying a bag ; the person walks over to a table where another person is ; the people remove items from the bag 
RO116	a person opens a wardrobe and grabs a cup out from it ; the person is holding a piece of toast and walks away 
RO116	a person takes an object out of a closet in front of a mirror 
BVS38	a person is putting clothes in the washer ; another person is standing and talking on the phone 
VOWY1	a person is standing looking in a mirror 
VOWY1	a person is looking in a mirror ; the person moves out of view and then reappears in front of the mirror 
1Y09V	a person is standing and drinking coffee from a cup ; they put the cup on a chair and leave 
01ZWG	a person sets their laptop down on a table sits down opens it and begins working on it and smiling 
01ZWG	a person opening a laptop sitting in a seat then playing video games 
0CGMQ	a person sits in a chair and watches tv while laughing then gets up and goes to the door 
2SIO0	laughing person dressed in a towel turns on a television 
2SIO0	a person fixes their clothes and then begins talking to a tv 
7UV4O	a person puts two pillows on a bed looks around and picks up a bowl from a table before putting the bowl back and leaving 
NZ7VY	the person poors coffee into a cup on a tray walks to a cabinet opens the door then walks to a couch and sits down and checks a tablet 
NZ7VY	the person pours a cup of coffee into a glass and places it on the table ; they put the coffee on the shelf then sit on the sofa 
WJ1GN	a person is places cards into a box on a table 
WJ1GN	a person is sitting in a chair holding some cards ; they take some cards off the table and put them in a box ; then they grab a bag and put the box inside the bag 
9SZG2	a person walks into a room ; picks up a package of mints from a shelf and takes one ; the person fiddles with items on the shelf picking up and object and putting it back down on the shelf 
9SZG2	a person walks into a room and grabs food off a shelf then tidies up the shelf 
33I4D	a person sits down at a table and picks up a jar ; the person put stuff in a cup and stirs it ; the person takes a drink of the cup 
33I4D	a person sits in a chair opens a bottle and puts something in a cup ; they then take a drink from the cup 
SQBEE	a person is eating with a blanket draped over them 
23X63	a person is sweeping the floor with the broom ; another person enters the room walks to the table and picks up a hat ; that person puts on the hat waves at the person who is sweeping and walks out the door 
5KQL2	the person is holding a bag and opening and smelling items to possibly put in the bag then moves to opening a cabinet door 
5KQL2	the person puts an item from a shelf in a bag then picks up other items and puts them back on the shelf before opening a drawer 
Z320B	person holding broom sweeps floor puts broom in corner by door picks up clothes from basket folds it and touch appliance 
GISE8	a person is folding a towel ; a person then puts a towel in a closet ; a person then puts on a shirt 
GISE8	the person folds a towel in the bathroom ; the person puts the towel away on a shelf ; the person then puts on a jacket while looking in the mirror 
3STO2	a sick person enters the bathroom wearing a blanket over their shoulders ; the person picks up a glass drinks from it puts it down and sneezes into a tissue 
3STO2	a person is sneezing and drinking from a mug the person then decides to grab tissue for nose blowing 
UFWD5	a person is walking through a door then sitting on the floor and taking something out of a cabinet before playing with a doorknob 
UFWD5	a person walks into a bathroom and closes the door ; the person kneels to grab something from the cabinet under the sink then tries to open the door again 
Z4Y02	a person is in the kitchen looking in the fridge and then proceeding to stir something in a pot 
K3193	a person sits next to another person on a bench ; the first person sneezes ; the second person leaves grabs a towel then hands it to the other person 
VRMNI	a person enters through a doorway turns on a light then brings dishes to the sink washes them and puts in cabinet 
VRMNI	a person walks through a door and closes it behind them ; they turn on the light in the room and pick up a dish with food remnants on it ; they wash the dish in the sink and place it on a shelf above the counter 
8Y7P5	one person runs out of the garage while another stays sitting in the garage and eats 
8Y7P5	one person ran out of the door and the other person sat on a chair and ate a sandwich 
EE6R2	a person stands in the doorway ; a second person is sitting outside taking a picture of their homework 
EE6R2	the person is standing in the doorway holding a piece of paper and speaking to anther person ; the other person is sitting down looking at the phone in their hand 
5EFQ7	a person is fixing a table 
5EFQ7	a person is fixing a table 
450TW	a person sitting on the couch opens a book ; they eat some food while reading the book then answer the phone 
NSKMC	a person sits in a chair doing work and drinks coffee 
NSKMC	the person is sitting in a chair working on homework ; they grab a cup off the table and drink some coffee 
CMEA6	a person locks the door picks up a basket then stares at two photos on a ledge 
SMLI0	a person sitting at a desk looking at a photo puts the photo down and tidys up the desk 
L1MR4	a person vacuums the floor and then picks up a coffee cup and plays with their phone 
154TJ	a person is walking with homework in the hallway and then they put it on the floor 
IO712	the person closes a window and then picks up a book ; the person then sits down places the book on a table and starts to read the book 
XZPAS	a person is lying on the bed holding a glass ; a different person is looking at a picture before putting the picture onto the floor 
XZPAS	a person is laying in bed holding a glass and another person sets something on the floor 
I68J0	a person grabs a book in the closet and sets it on a table then tidies up and takes a selfie 
I68J0	a person runs to a closet takes a book off of a shelf opens the book and looks at it then puts the book on a table ; the person is then tidying up a shelf before pulling a phone out of a pocket and then taking a picture of themselves as they smile 
FQ9QX	a person is sweeping with a broom then sneezes on a pillow 
DE8T8	a person looks at themselves in the mirror and does poses 
AB06W	a person is sitting on a bed ; the person pours water into a glass then lays down on the bed 
A7OCU	the person is putting a coat on and putting a dish on a chair 
FNM0L	the person sit in the chair put glasses cleaning the mobile phone with some fear 
URWJL	this person opens up curtain to a bedroom sits in bed for a few seconds and then goes into shelf / closet area 
URWJL	someone walks in to a room and sits on the bed ; they grab a book from the shelf 
UY7BK	a man walks into an office and plays with his phone while looking out the window 
G93A5	a person is standing in a shower wearing a towel holding a mirror working on a phone ; they set the mirror down and continue working on the phone 
G93A5	a person is texting on their phone while holding a mirror 
OWZCZ	a person opens the refrigerator and gets some food out and then cooks on the stove 
OWZCZ	a person is opening a refrigerator door and taking out food then cooking on the stove 
TZZX3	a person is standing in a doorway they are on their phone and they sneeze ; they begin taking medicine 
0WU7S	a person takes a bag from a cabinet 
ETAFB	a person is wearing a blanket ; a person then looks in the pantry for an item ; the person then opens the refrigerator looking for food 
2YK65	a lady stands in her living room reading a book ; she moves to the couch and sits down and continues to read 
XPTXP	a person holding a towel is turning a door knob ; they take the towel and wrap it around their neck and continue standing still 
6C65Z	a person walks into a room where another person is looking in the mirror 
6C65Z	a person walks into a kitchen and closes the refrigerator door ; the person approaches another person who is cooking on the oven ; the first person reaches over and places a pot on the stove ; both people are standing in front of a mirror 
36AJ1	the person used the mirror to unbutton a shirt and take it off then sneezed ; the person opened the door then locked it and started to pull it shut 
36AJ1	a person is looking in the mirror and taking off their shirt ; they turn around to leave the room and sneeze as they are walking 
FTGSV	the person is standing with a blue container ; the person then puts the container on a dresser and walks out of the room 
CIG76	person is holding a book and glass ; person takes a drink of water and pours water out into a sink 
CIG76	a person is standing in the doorway of a bathroom drinking out of a bottle while holding an open book ; the person then pours out the contents of the bottle in the sink and places the cap back onto the bottle and walks out of the bathroom 
9IT59	a person holding a pillow walks through a hallway and then puts it into a cabinet 
E780X	a person puts shoes on the floor and drinks from a glass 
E780X	this person sets down something picks up a glass and takes several drinks of water 
FVDNY	a person is cheering back and forth ; a person then begins running 
DLBRW	a person is vauuming a room they walk through a door way and set the vacuum down and pick up a dish and walks out of the room closing the door 
MQSXF	a person is holding a mirror and talking into it they also have a bottle of something in their other hand 
3QVSC	a person is playing with a broom while another person looks at a picture 
TCQ97	a person throws a pillow and then sits on a couch ; a second person takes clothes off a chair and puts them in a closet 
TCQ97	a person throws a pillow and sits on a sofa while another person puts clothes into a closet 
696GE	a person throws a towel while another pours some water 
39TDM	a person is holding a pillow while sitting in a chair ; a person then begins sneezing 
39TDM	this person is appears to be in a room sneezing sitting and on a laptop placed on a table 
N8N6U	a person is sitting on a bed playing with a pillow ; then the person takes some medicine with a drink of water 
16OAM	a person is in their office and using their laptop on top of a chair 
4WX0H	a person dresses in a blanket while another person sits on a bed and repeatedly stinks their head into a bag while laughing 
4WX0H	a person is wrapping themselves in a blanket while another person is putting their head in a bag and laughing 
372CC	a person is sitting in front of a computer sneezing 
372CC	this person is sitting at a desk watching something on laptop and then starts to sneeze 
P2DV7	a person walks through a door and takes a picture of something on a shelf 
HHEIV	a person is sitting on a couch drinking from a cup and watching television ; the person has their feet resting on the table in front 
HHEIV	a person is sitting on a couch drinking a cup of coffee watching television ; the person is smiling and crossing their legs 
AMP3N	a person is sitting at a computer ; the person stands up and walks to a mirror ; the person takes off their shirt ; the person fixes their hair 
D07V2	a person is drinking a cup of coffee then opening the refrigerator and eating something ; they when begin to play with dishes on the table 
RI2KG	a man is putting a raking a mirror and scring something onto the back while a woman is standing by a door watching with her hand on the door knob 
4Y1AW	a person is sitting on a chair on their phone ; the person begins consuming food ; the person then takes a selfie with the phone 
4Y1AW	the person is sitting in a chair talking on the phone ; they eat some food then take a picture of themself with a camera 
QS0AZ	a person cooks on a stove and then gets food out of the refrigerator 
ZIU9C	a person takes a book from a bed walks through a doorway to another room and places it on a table ; they walk over to a cabinet and open the door 
9QI0W	a person sitting on some stairs is playing on their phone with a blanket draped over them 
SUYMQ	a person is sitting down on the floor by an open door and holding a pair of shoes ; they place the shoes on the ground and stand up and begin to eat a sandwich 
YYJ8I	a person walks down a hall and out a door while carrying something 
YYJ8I	a person holding a container open the front door and goes through it 
7VHXG	a person is cooking something on the stove ; the person takes something from the refrigerator and throws it in the garbage 
9OH7W	this person is folding a blanket on a couch then eats a snack 
YPQ97	a man is using a broom to sweep a room while indoors ; the man seems to be doing this as a choir 
KVYOZ	a person sits on the floor and then sneezes into a paper ; the person picks up a mug and walks away 
KVYOZ	a person is sitting in front of a closet looking at apicture they get up and grab a cup and walk out 
6BXG4	person sitting in chair in kitchen holding mug gets up goes to sink and puts water in mug then takes a drink 
GJNI4	a person watches a video on a phone then puts it down looks at a mirror and then drinks from a bottle of water 
QQ9RN	a person is laughing 
327L5	the person entered the room adjusted himself and took camera sat before the tv and took some pictures and finally went out 
79WPY	a person sits and watches television while another person closes the door to a refrigerator and walks away 
FL4NG	a person holding a phone takes their jacket off and throws it on a chair 
FL4NG	a person is standing in the closet undressing and holding a phone then they throw their jacket on a chair 
82990	person sitting on chair near table sneeze multiple times and rubs hands in shirt ; other person walks in and places bag near table and walks away 
82990	a person sitting at a table sneezes ; meanwhile another person walks into the room and sets a bag on the floor under the table 
YLIMP	a person holds a blanket over their shoulders while bending down to put their shoes on 
U9UI8	one person is sitting on a bed looking through a box while the other person is standing and drinking from a mug 
7QLMY	a woman runs into a room grabs a chair and places it in front of the door she just ran through 
7ZPHX	person standing in a doorway puts on a jacket looking in a mirror still standing in the doorway 
7ZPHX	a person standing in a door straightening a jacket ; proceeds to put the jacket on turns and smiles in a mirror 
V8JOH	the person takes some medicine then puts the bottle down ; the person then walks into a room and closes the door 
V8JOH	a person is standing in a doorway holding some medicine they take some and then set the medicine on the floor and leave out the door closing it behind them 
A015X	a person is looking into a mirror and then picks a folder of homework up off the table 
D4AJ5	a person walks in to a kitchen and takes a couple of drinks from a cup ; the person turns and smiles and walk to the counter and puts the cup down 
OAL0G	a person is sitting on a couch and starts sneezing ; a second person is standing in front of the couch sipping from a mug 
QO6RV	person walks to table eating put something in a bowl pours water in a glass turns out a light 
QO6RV	a person walks through a doorway eating food ; afterwards the person takes a glass and pours some water from a pitcher before turning off the light 
4T97L	a person cools a cup of coffee while another turns the light on and fixes a door 
4T97L	a person is standing in the kitchen and drinking from a white cup ; a second person runs by and begins cleaning a doorknob 
6BFKO	person typing on laptop then pulling on front of shirt 
WTMMC	a person walks into a laundry room pours laundry soap into a washer then stuffs clothing into the washer ; they take a drink from a cup and walk out of the room 
B84SU	2 people are in a room one is using a broom to clean with while the other one is undressing 
B84SU	person standing in the kitchen who takes off jacket while another person walks around sweeping the floor and looking on 
6B328	the person is lying in a bed ; the person picks up a phone and takes some medicine ; another person can be seen in the mirror walking in circles 
6B328	a person is lying on their bed and grabs their phone before throwing it ; afterwards the person takes some medicine from the desk and lays back down 
CBG3N	a person is sitting on a couch ; the person begins eating some food from a plate ; the person picks up some books a box and homework and begins to get up from the couch 
CBG3N	a person sits on a sofa nibbling on a snack 
CBG3N	then the person picks up a book box and a dish and leaves 
ISHJ4	a person closes a door and then walks up and down the stairs ; they go through the door and then pick up clothes ; they do the same thing over again 
4N06O	a person lays on the floor in the bathroom holding a book then wakes up and throws it 
4N06O	a person is lying on the floor with a pillow and a book ; a person awakens and begins to look at a book ; a person then throws a book 
JISS4	a person laughs while throwing a pillow ; then they sit on the floor and eat some food 
JISS4	a person stands by a door laughing throwing a pillow then sits on the floor and eats food 
35P3Q	a person is washing dishes in a sink ; a person then takes a load of clothes and walks out 
QDZ38	a person runs into the room and puts something on the sink ; the person then washes the mirror with a towel 
QDZ38	a person runs into a bathroom and starts washing the mirror then moves a bunch of things around on the counter 
ZBDB5	someone is sitting on the floor working on their laptop ; they close it and grab medicine from a shelf and take it 
